gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
PCDHB8,0.774,,,0.23,,,,,0.926,,,0.228,,,,,,0.499,,0.483
TXNRD3,0.737,,,0.833,,,,,0.682,,,0.409,,,,,,0.523,,0.371
SNX11,0.486,,,0.293,,,,,0.268,,,0.466,,,,,,0.205,,0.38
FKBP11,0.388,0.319,,0.223,,,,,0.278,0.294,,0.455,,,,0.511,,0.32,0.452,0.496
NKX2-1,0.0795,,,0.951,,,,,0.76,,,0.14,,,,,,0.236,,0.487
ADAMTSL4-AS1,,,,0.821,,,,,0.921,,,0.595,,,,,,0.724,,0.681
ENO1,0.753,0.842,,0.354,,,,,0.0346,0.907,,0.999,,,,0.789,,0.684,0.827,1.0
HOXD8,0.535,,,0.844,,,,,0.813,,,0.257,,,,,,0.853,,0.0834
ANGPTL6,0.761,,,0.551,,,,,0.417,,,0.512,,,,,,0.241,,0.632
AQP5,0.562,,,0.362,,,,,0.936,,,0.461,,,,,,0.43,,0.481
EIF1,0.537,0.682,,0.274,,,,,0.0238,0.836,,0.449,,,,0.796,,1.0,0.98,0.372
FCF1,0.302,,,0.857,,,,,0.0272,,,0.995,,,,,,0.522,,0.962
IRAG2,0.967,,,0.742,,,,,0.809,,,0.507,,,,,,0.318,,0.374
SUGT1,0.442,,,0.489,,,,,0.145,,,0.998,,,,,,0.28,,0.973
PRPF39,0.901,0.579,,0.97,,,,,0.00458,0.557,,0.594,,,,0.563,,1.0,0.375,0.47
GINS2,0.188,,,0.869,,,,,0.264,,,1.0,,,,,,0.961,,1.0
DIS3L,0.482,,,0.163,,,,,0.143,,,0.444,,,,,,0.785,,0.48
OR1E2,0.688,,,0.264,,,,,0.661,,,0.67,,,,,,0.779,,0.533
TXNDC16,0.938,,,0.517,,,,,0.218,,,0.374,,,,,,0.0576,,0.756
GTF2H5,0.191,,,0.153,0.456,,0.334,0.692,0.214,,0.3,0.672,0.513,0.621,0.25,,0.538,0.068,,0.671
PPM1E,0.517,,,0.64,,,,,0.76,,,0.418,,,,,,0.0513,,0.35
RASD1,0.265,,,0.32,,,,,0.788,,,0.427,,,,,,0.169,,0.595
HIPK2,0.548,,,0.697,,,,,0.15,,,0.281,,,,,,0.384,,0.14
DNAH3,0.0504,,,0.587,,,,,0.268,,,0.301,,,,,,0.932,,0.253
DIP2B,0.822,,,0.549,,,,,0.249,,,0.506,,,,,,0.831,,0.199
SMPD4,0.771,,,0.477,,,,,0.352,,,0.479,,,,,,0.46,,0.769
FSIP1,0.89,,,0.00656,,,,,0.437,,,0.255,,,,,,0.614,,0.394
SLC29A3,0.659,,,0.794,,,,,0.412,,,0.493,,,,,,0.926,,0.354
KRT33A,0.265,,,0.192,,,,,0.86,,,0.367,,,,,,0.849,,0.31
TEX2,0.421,,,0.731,,,,,0.849,,,0.461,,,,,,0.762,,0.353
ORC3,0.141,,,0.0813,,,,,0.00132,,,0.854,,,,,,0.992,,0.984
SSTR4,0.503,,,0.996,,,,,0.913,,,0.301,,,,,,0.428,,0.31
ADAM23,0.508,0.281,,0.807,,,,,0.208,0.232,,0.294,,,,0.111,,0.414,0.191,0.479
PCDHAC1,0.392,,,0.183,,,,,0.541,,,0.262,,,,,,0.415,,0.287
GPR45,0.411,,,0.186,,,,,0.485,,,0.515,,,,,,0.151,,0.035
SYVN1,0.657,,,0.844,,,,,0.827,,,0.751,,,,,,0.142,,0.874
VCAN,0.129,,,0.511,,,,,0.13,,,0.418,,,,,,0.327,,0.795
KLLN,0.553,,,0.825,,,,,0.594,,,0.386,,,,,,0.219,,0.326
BRCA2,0.145,,,0.378,0.982,,0.758,0.998,0.0454,,0.757,0.682,0.899,0.751,0.692,,0.579,1.66e-07,,0.44
RAG2,0.241,,,0.447,,,,,0.42,,,0.44,,,,,,0.273,,0.339
RIOK3,0.5,,,0.515,,,,,0.778,,,0.488,,,,,,0.645,,0.665
TSTD1,0.438,,,0.683,,,,,0.425,,,0.429,,,,,,0.593,,0.142
GSC,0.554,,,0.841,,,,,0.879,,,0.291,,,,,,0.576,,0.375
SLC35A4,0.571,,,0.704,,,,,0.495,,,0.362,,,,,,0.327,,0.686
SFTPC,0.332,,,0.576,,,,,0.379,,,0.327,,,,,,0.674,,0.267
ACER2,0.166,,,0.161,,,,,0.433,,,0.351,,,,,,0.599,,0.484
BABAM1,0.863,,,0.972,0.9,,0.818,0.209,0.774,,0.315,0.441,0.861,0.967,0.35,,0.669,0.943,,0.0254
MFAP4,0.572,,,0.203,,,,,0.356,,,0.349,,,,,,0.294,,0.364
PLEKHM1,0.283,,,0.683,,,,,0.596,,,0.696,,,,,,0.757,,0.788
B3GALT2,0.882,,,0.842,,,,,0.33,,,0.509,,,,,,0.101,,0.423
FIGN,0.319,,,0.212,,,,,0.127,,,0.262,,,,,,0.214,,0.374
ASF1B,0.482,,,0.747,,,,,0.0967,,,0.537,,,,,,0.182,,0.195
SPAG5,0.832,,,0.568,,,,,0.207,,,0.667,,,,,,0.688,,0.869
WSCD1,0.757,,,0.0844,,,,,0.418,,,0.345,,,,,,0.747,,0.0578
SLC38A9,0.577,,,0.54,,,,,0.73,,,0.433,,,,,,0.716,,0.391
GTF3C4,0.192,0.832,0.858,0.718,,0.846,,,0.00478,0.824,,0.965,,,,0.548,,0.343,0.304,1.0
BRD1,0.778,,0.0144,0.0758,,0.76,,,0.0564,,,0.243,,,,,,0.991,,0.513
PSME3,0.364,,,0.0175,,,,,0.281,,,0.635,,,,,,0.315,,0.928
LZTFL1,0.742,,,0.731,,,,,0.12,,,0.475,,,,,,0.224,,0.315
MYO3A,0.433,0.201,,0.252,,,,,0.501,0.165,,0.287,,,,0.466,,0.478,0.413,0.364
SLC12A6,0.411,,,0.976,,,,,0.269,,,0.393,,,,,,0.615,,0.282
FCRL2,0.846,,,0.957,,,,,0.627,,,0.36,,,,,,0.59,,0.376
C19orf53,0.765,,,0.858,,,,,0.0317,,,0.999,,,,,,0.843,,0.804
PFDN4,0.712,,,0.54,,,,,0.314,,,0.512,,,,,,0.503,,0.421
EMSY,0.541,,,0.217,,,,,0.402,,,0.574,,,,,,0.0184,,0.449
RBM28,0.105,,,0.657,,,,,0.491,,,0.754,,,,,,0.859,,0.934
SLAMF6,0.49,,,0.314,,,,,0.793,,,0.491,,,,,,0.547,,0.471
CSN3,0.366,,,0.259,,,,,0.748,,,0.282,,,,,,0.265,,0.5
UXS1,0.16,,,0.15,,,,,0.0818,,,0.462,,,,,,0.481,,0.317
RBAK,0.941,,,0.641,,,,,0.0839,,,0.352,,,,,,0.615,,0.22
STX18,0.819,,,0.754,,,,,0.678,,,0.98,,,,,,0.228,,0.938
IFT46,0.395,,,0.176,,,,,0.791,,,0.405,,,,,,0.218,,0.3
MDM1,0.89,,,0.304,,,,,0.485,,,0.396,,,,,,0.397,,0.315
PHGR1,0.325,,,0.396,,,,,0.602,,,0.429,,,,,,0.978,,0.0993
DYRK1A,0.824,0.433,,0.349,,,,,0.00454,0.663,,0.0549,,,,0.174,,1.0,0.966,0.555
RBM23,0.215,,,0.149,,,,,0.24,,,0.386,,,,,,0.54,,0.565
NVL,0.986,,,0.262,,,,,0.151,,,1.0,,,,,,0.351,,1.0
SRSF2,0.808,,,0.512,0.663,,0.623,0.163,0.212,,0.567,0.671,0.622,0.648,0.51,,0.66,0.348,,0.785
RAB5IF,0.26,,,0.245,,,,,0.191,,,0.532,,,,,,0.151,,0.599
CDC37,0.00238,,,0.253,,,,,0.0742,,,1.0,,,,,,0.429,,0.999
PLA2R1,0.715,,,0.827,,,,,0.482,,,0.441,,,,,,0.485,,0.608
C8orf44,0.0334,,,0.792,,,,,0.317,,,0.251,,,,,,0.598,,0.313
VARS1,0.98,0.989,,0.511,,,,,0.565,0.981,,1.0,,,,0.632,,0.586,0.0935,0.993
S100A1,0.677,,,0.168,,,,,0.0657,,,0.327,,,,,,0.116,,0.493
KCNMB1,0.609,,,0.0945,,,,,0.943,,,0.283,,,,,,0.87,,0.0745
LBR,0.65,,,0.359,,,,,0.322,,,0.452,,,,,,0.247,,0.347
WDR93,0.97,,,0.865,,,,,0.326,,,0.342,,,,,,0.561,,0.32
HDAC6,0.72,,0.344,0.889,,0.364,,,0.839,,,0.413,,,,,,0.507,,0.336
ATM,0.48,0.0974,,0.978,0.279,,0.726,0.284,0.182,0.0674,0.481,0.345,0.444,0.965,0.379,0.0493,0.749,0.238,0.183,0.38
ACSM4,0.871,,,0.299,,,,,0.667,,,0.355,,,,,,0.533,,0.584
CLEC4G,0.0897,,,0.322,,,,,0.527,,,0.438,,,,,,0.152,,0.493
KRT3,0.408,0.286,,0.29,,,,,0.6,0.222,,0.373,,,,0.484,,0.0492,0.289,0.355
EFNA4,0.363,,,0.264,,,,,0.687,,,0.598,,,,,,0.536,,0.733
REST,0.506,,,0.505,,,,,0.576,,,0.676,,,,,,0.872,,0.7
TMEM156,0.854,,,0.305,,,,,0.223,,,0.269,,,,,,0.59,,0.177
KRR1,0.794,,,0.649,,,,,0.157,,,1.0,,,,,,0.29,,0.999
SCAMP4,0.152,,,0.999,,,,,0.524,,,0.415,,,,,,0.379,,0.196
RPL4,0.337,,,0.836,,,,,0.246,,,0.987,,,,,,0.361,,0.999
AGBL1,0.786,,,0.856,,,,,0.523,,,0.251,,,,,,0.425,,0.0685
RNF216,0.274,,,0.148,,,,,0.719,,,0.51,,,,,,0.264,,0.314
ADSL,0.241,0.983,,0.195,,,,,0.131,0.984,,0.467,,,,0.815,,0.641,0.448,0.643
DSG4,0.985,,,0.423,,,,,0.156,,,0.308,,,,,,0.189,,0.517
ZBED6,0.488,,,0.579,,,,,0.799,,,0.49,,,,,,0.228,,0.714
CEBPA,0.494,0.293,,0.701,,,,,0.959,0.263,,0.445,,,,0.745,,0.591,0.534,0.493
NETO1,0.96,,,0.163,,,,,0.64,,,0.333,,,,,,0.28,,0.5
SLCO6A1,0.8,,,0.459,,,,,0.661,,,0.289,,,,,,0.24,,0.202
ANKS4B,0.592,,,0.298,,,,,0.15,,,0.393,,,,,,0.372,,0.282
AMOTL2,0.304,0.0291,,0.0982,,,,,0.249,0.0586,,0.00972,,,,0.129,,0.138,0.933,0.0239
FCAMR,0.374,,,0.634,,,,,0.815,,,0.34,,,,,,0.588,,0.343
CFD,0.311,,,0.0847,,,,,0.769,,,0.328,,,,,,0.705,,0.339
ADAMTSL4,0.545,,,0.16,,,,,0.59,,,0.436,,,,,,0.486,,0.308
MUC17,0.343,0.335,,0.203,,,,,0.973,0.335,,0.347,,,,0.622,,0.125,0.591,0.473
YKT6,0.283,,,0.264,,,,,0.23,,,1.0,,,,,,0.866,,0.999
RUFY1,0.277,,,0.592,,,,,0.862,,,0.292,,,,,,0.432,,0.106
ZNF484,0.332,,,0.923,,,,,0.601,,,0.386,,,,,,0.58,,0.586
RNF7,0.757,0.169,,0.267,,,,,0.0609,0.519,,0.5,,,,1.0,,0.264,1.0,0.453
ALDH16A1,0.319,,,0.936,0.154,,0.174,0.351,0.636,,0.325,0.469,0.174,0.339,0.173,,0.26,0.39,,0.548
FST,0.865,,,0.573,,,,,0.845,,,0.424,,,,,,0.132,,0.58
INSM2,0.911,,,0.618,,,,,0.9,,,0.39,,,,,,0.429,,0.273
CCDC154,0.414,,,0.735,,,,,0.554,,,0.428,,,,,,0.766,,0.121
DUSP11,0.715,0.279,,0.326,,,,,0.954,0.261,,0.399,,,,0.354,,0.464,0.44,0.504
TECPR1,0.728,,,0.571,,,,,0.316,,,0.442,,,,,,0.632,,0.264
KLHL28,0.793,,,0.361,,,,,0.594,,,0.271,,,,,,0.602,,0.442
FLVCR2,0.112,,,0.377,,,,,0.0968,,,0.581,,,,,,0.451,,0.56
KRTAP21-2,0.693,,,0.416,,,,,0.825,,,0.322,,,,,,0.346,,0.499
NKAP,0.232,,,0.484,,,,,0.386,,,0.987,,,,,,0.175,,0.994
EYS,0.528,,,0.532,,,,,0.733,,,0.262,,,,,,0.213,,0.585
OVOL1,0.307,,,0.783,,,,,0.93,,,0.468,,,,,,0.659,,0.464
TAF15,0.879,,,0.911,,,,,0.0947,,,0.87,,,,,,0.4,,0.609
BACH1,0.249,,,0.756,0.306,,0.171,0.172,0.752,,0.553,0.199,0.125,0.226,0.21,,0.134,0.347,,0.488
TMC8,0.376,,,0.93,,,,,0.521,,,0.349,,,,,,0.114,,0.474
BAG1,0.805,,,0.582,,,,,0.408,,,0.447,,,,,,0.744,,0.471
RAB24,0.264,,,0.165,,,,,0.6,,,0.341,,,,,,0.648,,0.199
GHRL,0.638,,,0.781,,,,,0.136,,,0.424,,,,,,0.433,,0.554
AFF3,0.0805,,,0.695,,,,,0.209,,,0.397,,,,,,0.22,,0.486
GEMIN6,0.506,,,0.065,,,,,0.0164,,,0.836,,,,,,0.733,,0.882
DNAJC24,0.358,,,0.307,,,,,0.198,,,0.534,,,,,,0.597,,0.695
ALG11,0.537,0.831,,0.176,,,,,0.289,0.814,,0.999,,,,0.447,,0.153,0.268,0.984
LRP5,0.58,,,0.898,,,,,0.998,,,0.481,,,,,,0.204,,0.518
SERTAD3,0.445,,,0.366,,,,,0.715,,,0.454,,,,,,0.256,,0.317
GRIA3,0.588,,,0.214,,,,,0.422,,,0.292,,,,,,0.88,,0.297
MYCT1,0.392,,,0.586,,,,,0.841,,,0.288,,,,,,0.635,,0.352
RWDD4,0.512,,,0.0768,,,,,0.492,,,0.469,,,,,,0.262,,0.744
NFATC2IP,0.279,,,0.369,0.274,,0.387,0.447,0.871,,0.0886,0.527,0.463,0.319,0.483,,0.836,0.405,,0.719
CCR7,0.215,,,0.851,,,,,0.973,,,0.418,,,,,,0.289,,0.647
MED8,0.357,,,0.303,,,,,0.00586,,,1.0,,,,,,0.776,,0.997
ABCF3,0.518,,,0.198,,,,,0.934,,,0.327,,,,,,0.0591,,0.441
FRAT2,0.87,,,0.869,,,,,0.712,,,0.457,,,,,,0.268,,0.638
ZNF446,0.756,,,0.723,,,,,0.788,,,0.341,,,,,,0.933,,0.407
IGSF6,0.503,,,0.208,,,,,0.488,,,0.423,,,,,,0.444,,0.399
EPHB4,0.275,,,0.533,,,,,0.734,,,0.356,,,,,,0.945,,0.396
CD7,0.226,,,0.0929,,,,,0.192,,,0.397,,,,,,0.558,,0.254
DMTN,0.802,,,0.767,,,,,0.692,,,0.324,,,,,,0.08,,0.123
ARHGEF2,0.481,0.378,,0.427,,,,,0.721,0.358,,0.365,,,,0.743,,0.84,0.563,0.487
JUN,0.449,,,0.745,,,,,0.078,,,0.947,,,,,,0.822,,0.901
SLC37A3,0.676,,,0.927,,,,,0.604,,,0.217,,,,,,0.811,,0.125
H3C11,0.833,,,0.0759,,,,,0.684,,,0.382,,,,,,0.196,,0.332
OR51M1,0.323,,,0.0403,,,,,0.483,,,0.425,,,,,,0.624,,0.459
GCA,0.263,,,0.695,,,,,0.542,,,0.348,,,,,,0.978,,0.138
TEX15,0.535,,,0.612,,,,,0.269,,,0.287,,,,,,0.558,,0.209
PRSS42P,0.985,,,0.476,,,,,0.495,,,0.425,,,,,,0.31,,0.511
CNTN2,0.1,,,0.864,,,,,0.339,,,0.537,,,,,,0.784,,0.401
LHB,0.111,,,0.476,,,,,0.274,,,0.512,,,,,,0.458,,0.651
SEMA4A,0.31,,,0.702,,,,,0.903,,,0.517,,,,,,0.319,,0.481
P2RY1,0.127,,,0.46,,,,,0.363,,,0.397,,,,,,0.803,,0.26
SLC39A10,0.105,,,0.196,,,,,0.515,,,0.359,,,,,,0.494,,0.658
OCSTAMP,0.795,,,0.654,,,,,0.0743,,,0.0359,,,,,,0.96,,0.533
MEOX2,0.378,,,0.994,,,,,0.451,,,0.319,,,,,,0.466,,0.562
SMC1A,0.161,,,0.356,,,,,0.0195,,,1.0,,,,,,0.956,,1.0
SRFBP1,0.343,0.652,,0.689,,,,,0.14,0.622,,0.991,,,,0.717,,0.654,0.395,0.937
TUBG2,0.445,,,0.228,,,,,0.817,,,0.472,,,,,,0.813,,0.363
ZNF398,0.086,0.318,,0.422,,,,,0.59,0.326,,0.392,,,,0.516,,0.936,0.592,0.337
PRKAR2B,0.976,,,0.55,,,,,0.719,,,0.415,,,,,,0.24,,0.441
BBC3,0.652,,,0.497,,,,,0.719,,,0.352,,,,,,0.278,,0.464
SUDS3,0.954,0.665,,0.657,,,,,0.0473,0.665,,0.748,,,,0.567,,0.201,0.43,0.934
COA5,0.268,,,0.0227,,,,,0.619,,,0.461,,,,,,0.886,,0.654
CHMP7,0.565,0.81,,0.341,,,,,0.0777,0.796,,0.988,,,,0.321,,0.0366,0.183,0.981
CHRNA2,0.11,,,0.227,,,,,0.526,,,0.31,,,,,,0.208,,0.00915
PHETA1,0.276,,,0.845,,,,,0.692,,,0.321,,,,,,0.989,,0.203
PDE4C,0.555,,,0.0223,,,,,0.967,,,0.412,,,,,,0.299,,0.495
